year,CODA_C_conn,CODA_O_ord,CODA_D_dom,CODA_A_aut,CODA_imbalance,C_cohesion,T_tension,Theta_social_temp,E_m_maintenance,L_legitimacy,R_repression,P_centralization,E_economic_stress,Psi_div,Psi_coherence,Q_coupling,K_absorption,D_dissipation,H_inertia,Theta_elite,Theta_majority,TG_hazard,S_entropy,CS_config_space,EH_proximity,OA_mismatch,delta_tau,x1_E_prime_proxy,x1_E_double_prime_proxy,MDI_star,regime_phase,x2_sol_position,x3_sol_position,x2_pop_centroid,x3_pop_centroid,alpha_degrees,T_prime_system,T_double_prime_system,T_prime_inner_orbit,T_prime_outer_orbit,T_prime_interior_region,PI_n_x1,PI_w_x1,PI_z_x1,PIw_PIn_ratio,PIz_PIw_ratio,gdp_pc_usd,gdp_growth_rate,unemployment_rate,youth_unemployment_rate,gini_coefficient,top_10pct_income_share,bottom_40pct_income_share,income_share_q1,income_share_q2,income_share_q3,income_share_q4,income_share_q5,poverty_headcount_pct,food_price_index,inflation_cpi,remittances_pct_gdp,fdi_net_pct_gdp,tourism_revenue_pct_gdp,govt_education_spending_pct_gdp,govt_health_spending_pct_gdp,military_police_spending_pct_gdp,internet_penetration_pct,mobile_penetration_pct,freedom_house_political_rights,freedom_house_civil_liberties,polity2,corruption_cpi_score,protest_events_count,repression_events_count,mepv_civviol,mepv_civwar,mepv_regciv,mepv_actotal
2000,0.04646121050388559,0.7075,0.3521854951547814,0.3037878787878788,0.3547182029315085,0.695,0.30084969534404166,0.27490390189877956,0.23156399845164852,0.7,0.1,0.65,0.28443707032078325,0.4004248476720208,0.5995751523279792,0.7495751523279791,0.4750864238637592,0.32831439393939393,,,,,0.27490390189877956,0.2993563641058148,0.04530752620707045,0.2020764099503113,0.5205567833076256,0.2454347866469136,0.7862752583417699,0.05845431153215617,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,1.9649478130402163,2.1930034000441707,1.9649478130402163,1.1160619053037857,2199.04465936314,4.7099729138049,14.94,30.729,40.8,31.6,16.2,6.0,10.2,14.9,21.6,47.3,10.5,51.8,2.96230794738605,3.70667246965086,3.49602747137556,9.206684552243388,6.20196008682251,4.81271935,1.5479040325129,2.75074029298135,1.22033582404798,6,5,-3.0,5.2,5,0,0.0,0.0,16.0,0.0
2001,0.07977691654310004,0.6289285714285714,0.35253447630316853,0.3,0.30084306559431995,0.6307142857142857,0.24407566360330152,0.23266559401301734,0.24820096608063397,0.6428571428571428,0.12777777777777777,0.65,0.1970474454029323,0.37203783180165073,0.6279621681983493,0.7351050253412064,0.48641529709106723,0.325,,,,,0.23266559401301734,0.3260669407161765,0.05491310978519844,0.16475107293222854,0.5223574857366619,0.2578914662598557,0.8002606645020434,0.04283413285455215,Stable,0.6,0.7,-0.075,0.09999999999999998,57.47417898500159,0.7688398190092756,0.23116018099072452,0.9924038765061041,0.6161620328397812,0.5061609947620557,1.0,1.9359599602241992,2.162452985265234,1.9359599602241992,1.116992618491348,2235.71981624751,3.79627166202512,14.4,29.889,40.18,31.1,16.48,6.08,10.399999999999999,15.040000000000001,21.700000000000003,46.78,9.58,51.8,1.98333333333337,4.20173772010119,2.04621697501891,9.34023225625582,6.20184993743896,4.86132765,1.52111247336458,4.29796603474685,3.94347251688176,6,5,-3.0,5.0,0,3,0.0,0.0,15.0,0.0
2002,0.10081550103789537,0.5278571428571428,0.32279859644436726,0.3015151515151515,0.22416254337423158,0.5564285714285713,0.19905908226636865,0.23774116320181776,0.12387411386872094,0.5857142857142856,0.1,0.7,0.1961709654011105,0.34952954113318435,0.6504704588668156,0.7147561731525298,0.3834684830866215,0.3263257575757576,,,,,0.23774116320181776,0.35065328875328194,0.0641156943047955,0.13410097644346083,0.5452239178357684,0.2867794829483898,0.8102141672789055,0.05117804672330493,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,1.9072112026920467,2.131875918930891,1.9072112026920467,1.1177975024065125,2320.7723805785,1.32255714828946,14.55,30.395,39.56,30.6,16.76,6.16,10.6,15.18,21.8,46.26,8.66,53.5,2.72103284850455,4.62505818398393,3.41507220577273,7.91215251419401,5.79006004333496,5.12036419,1.49264292624339,5.25288729548421,5.75974663829919,6,5,-4.0,4.8,2,0,0.0,0.0,15.0,0.0
2003,0.16649487383473505,0.5671428571428573,0.3230384395846969,0.3015151515151515,0.21108563568883382,0.5885714285714287,0.16265623972533488,0.2566758377684033,0.6860590815213226,0.6142857142857143,0.10925925925925926,0.7,0.18032638626319808,0.3313281198626674,0.6686718801373326,0.7543861658516183,0.632468752054933,0.3263257575757576,,,,,0.2566758377684033,0.3794979606089397,0.04560647741400583,0.10957731907254092,0.5643771570087045,0.42436854508556593,0.8282915843162371,0.004229121135208031,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,1.8787170969065352,2.101282969526429,1.8787170969065352,1.118466943738558,2725.8643148859,4.70239953285241,14.51,30.664,38.94,30.1,17.04,6.24,10.799999999999999,15.32,21.900000000000002,45.74,7.74,61.4,2.71259247474352,4.55401146418396,1.96504647635127,7.048178366673081,6.81675004959106,5.20888519,1.48388570363995,6.49084579532797,19.0389204053524,6,5,-4.0,4.9,2,1,0.0,0.0,14.0,0.0
2004,0.26001811873095254,0.6064285714285714,0.288192558364063,0.30227272727272725,0.18024531080314157,0.6207142857142858,0.2565304936617749,0.19564699874080604,0.6329290473572372,0.6428571428571428,0.11851851851851852,0.7,0.30941696103787775,0.37826524683088747,0.6217347531691125,0.7288776103119696,0.5911014379040724,0.3269886363636364,,,,,0.19564699874080604,0.40843131694695006,0.04894820834914945,0.17264793735362063,0.49064023881210134,0.5403773689208119,0.8523799218452273,0.053654210713033196,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,,,,,3067.41936376975,6.23579072222647,14.23,30.533,,,,,,,,,,72.4,3.63228004956625,4.59003431419085,1.89888949723214,7.798899916320135,6.72078990936279,5.19890785,1.42590206296513,8.52881775162591,36.746361434496,6,5,-4.0,5.0,3,2,0.0,0.0,14.0,0.0
2005,0.34284995810906793,0.5671428571428573,0.3000280794096981,0.3007575757575757,0.11251119769083348,0.5885714285714287,0.008503616967812978,0.2152866251929618,0.4751616885169944,0.6142857142857143,0.10925925925925926,0.7,0.07039242305443712,0.2542518084839065,0.7457481915160935,0.8314624772303792,0.5773227857101987,0.3256628787878788,,,,,0.2152866251929618,0.4312229072886372,0.03947807172316935,0.00573430458596555,0.44393456151961497,0.567347777158363,0.8803451374102186,0.0,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,1.8225568837051922,2.0400987588827078,1.8225568837051922,1.1193608150848278,3146.8260743927,3.4865455430439,12.872,28.103,37.7,29.1,17.6,6.4,11.2,15.6,22.1,44.7,5.9,80.2,2.01778641357144,4.31539618298049,2.20844919497596,8.676201667024905,6.4515700340271,5.14555788,1.45160141621028,9.655099869,55.3921457734954,6,5,-4.0,4.9,1,1,0.0,0.0,11.0,0.0
2006,0.44860404115451225,0.4492857142857142,0.3027755125652192,0.3,0.0017285928482105584,0.49214285714285705,0.019407407407407155,0.2170589913850407,0.4635815828013906,0.5285714285714285,0.11851851851851852,0.7,0.13176019910189934,0.2597037037037036,0.7402962962962965,0.7617248677248677,0.5721354695738512,0.325,,,,,0.2170589913850407,0.48191613199960087,0.08860353431456006,0.01309999999999983,0.6442805883842802,0.6270387965356661,0.916048754234031,0.0,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,1.8290862142581676,2.0470924555411196,1.8290862142581676,1.119188608816545,3322.56933570096,5.24409983246916,12.51,27.913,37.86,29.14,17.52,6.38,11.139999999999999,15.56,22.1,44.82,5.34,87.5,3.22525337438917,4.39262875850702,9.42473369729129,8.723941181741484,6.43879985809326,5.13109922,1.44636242435988,12.98639965,70.9332705740445,6,5,-4.0,4.6,0,2,0.0,0.0,13.0,0.0
2007,0.5264066926846167,0.29214285714285726,0.15769262829557515,0.3,0.18828560362309216,0.36357142857142866,0.029466521798180125,0.29365220615498705,0.49212794779251945,0.41428571428571437,0.1,0.7,0.18897842305256296,0.26473326089909005,0.73526673910091,0.6709810248151957,0.5761790865438793,0.325,,,,,0.29365220615498705,0.5427995791281204,0.10566757549934588,0.019889902213771585,0.6411720152657512,0.764374976200215,0.9493545009270927,0.018613566004288117,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,1.8356283534219289,2.0540837875486164,1.8356283534219289,1.1190085311765037,3726.91672935667,6.70952097453554,12.365,28.143,38.02,29.18,17.44,6.36,11.08,15.52,22.1,44.94,4.78,110.2,2.96694432477349,4.40894710281036,3.89395159860218,8.667530074501895,6.46451997756958,5.17542839,1.26099385636655,17.1,75.1086269269129,6,5,-4.0,4.2,0,0,0.0,0.0,14.0,0.0
2008,0.7092572061380266,0.3707142857142859,0.18529341062157734,0.3212121212121212,0.23723081550714228,0.427857142857143,0.06541256125929469,0.43579930416035945,0.38840245122983946,0.47142857142857153,0.4092592592592592,0.7,0.3338639342584014,0.28270628062964737,0.7172937193703526,0.6958651479417812,0.523562572669571,0.34356060606060607,,,,,0.43579930416035945,0.6539648095534014,0.2123246317216018,0.04293938206907489,0.5976390819178231,0.9437549299124018,0.969514516114317,0.07340079809562498,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,1.8421830758061426,2.061072626291714,1.8421830758061426,1.1188207368530865,4255.05008019523,4.23778147502819,12.444,28.66,38.18,29.220000000000002,17.36,6.34,11.02,15.48,22.1,45.06,4.220000000000001,145.9,4.34502807623045,4.40701942168731,5.79738619600755,8.713884989470477,6.27157020568848,5.1644063,1.29062492574542,27.53,81.5940606878641,7,5,-4.0,4.4,28,1,0.0,0.0,14.0,0.0
2009,0.8461442251259337,0.29214285714285726,0.1818943113968357,0.3007575757575757,0.3364323161719082,0.36357142857142866,0.2632907458051928,0.28972243689168226,0.6044279265784509,0.41428571428571437,0.4,0.7,0.40598359078253765,0.38164537290259637,0.6183546270974036,0.5540689128116894,0.5444727405762726,0.3256628787878788,,,,,0.28972243689168226,0.7373026625359593,0.15306157089582248,0.17754672356806608,0.4242815842472279,0.8843300274129455,1.0,0.16617345416299945,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,,,,,4080.09032448781,3.04345012371552,13.29,31.153,,,,,,,,,,109.4,3.66490330642919,4.52066560776586,3.50988118042442,8.10940041447104,6.528480052948,5.40595293,1.2949496088007,34.07,91.9849726040992,7,5,-4.0,4.2,1,0,0.0,0.0,14.0,0.0
2010,0.9275842221862156,0.3314285714285714,0.15296296296296294,0.3196969696969697,0.38144482874582547,0.39571428571428563,0.11424779793498366,0.3862232755157611,0.3814773939547319,0.44285714285714284,0.4185185185185185,0.7,0.2999661992716454,0.3071238989674918,0.6928761010325082,0.6500189581753653,0.4411634774755864,0.3422348484848485,,,,,0.3862232755157611,0.7913202029249709,0.12244336430139054,0.07514822011897694,0.4851127056772141,0.9562577922207481,0.9421250208504681,0.10243144898657003,Stable,0.6,0.7,-0.09,0.09999999999999998,58.19110756808121,0.7635438471892234,0.23645615281077675,0.9924038765061041,0.6100679003051832,0.4999047685405224,1.0,1.8553293757833356,2.0750423296267515,1.8553293757833356,1.118422613640045,4291.86120891575,2.97113275066512,13.049,29.573,38.5,29.3,17.2,6.3,10.9,15.4,22.1,45.3,3.1,128.0,3.33897963601069,4.4654169829179,2.88814231758981,7.524981780905185,5.96306991577148,5.60950756,1.23617052057621,36.8,103.234503500842,7,5,-4.0,4.3,26,2,0.0,0.0,14.0,0.0
2011,1.0,0.1125,0.6782476509955315,0.7,0.4546261745022342,0.22499999999999998,0.8859999999999999,0.8,0.7176191868271459,0.3,0.9,0.75,0.7454707837585649,0.693,0.30700000000000005,0.15700000000000006,0.34444508492143,0.675,,,,,0.8,0.838004230162541,0.13553402060656217,0.28794999999999993,0.21270908690290524,1.0,0.9862998818791715,0.5374761090716417,Pre-Critical,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,,,,,4420.64772206537,-2.04663389535644,18.334,42.639,,,,,,,,,,162.6,3.24002842009531,4.16533721221503,0.899077534980039,5.255247754888762,,6.12299299,1.48625780102894,39.1,113.794012236779,7,5,,3.8,528,54,0.0,0.0,17.0,0.0
