obs_id,CODA_C_conn,CODA_O_ord,CODA_D_dom,CODA_A_aut,CODA_imbalance,C_cohesion,T_tension,Theta_social_temp,E_m_maintenance,L_legitimacy,R_repression,P_centralization,E_economic_stress,Psi_div,Psi_coherence,Q_coupling,K_absorption,D_dissipation,H_inertia,Theta_elite,Theta_majority,TG_hazard,S_entropy,CS_config_space,EH_proximity,OA_mismatch,delta_tau,x1_E_prime_proxy,x1_E_double_prime_proxy,MDI_star,regime_phase,x2_sol_position,x3_sol_position,x2_pop_centroid,x3_pop_centroid,alpha_degrees,T_prime_system,T_double_prime_system,T_prime_inner_orbit,T_prime_outer_orbit,T_prime_interior_region,PI_n_x1,PI_w_x1,PI_z_x1,PIw_PIn_ratio,PIz_PIw_ratio,gdp_pc_usd,gdp_growth_rate,unemployment_rate,youth_unemployment_rate,gini_coefficient,top_10pct_income_share,bottom_40pct_income_share,income_share_q1,income_share_q2,income_share_q3,income_share_q4,income_share_q5,poverty_headcount_pct,food_price_index,inflation_cpi,remittances_pct_gdp,fdi_net_pct_gdp,tourism_revenue_pct_gdp,govt_education_spending_pct_gdp,govt_health_spending_pct_gdp,military_police_spending_pct_gdp,internet_penetration_pct,mobile_penetration_pct,freedom_house_political_rights,freedom_house_civil_liberties,polity2,corruption_cpi_score,protest_events_count,repression_events_count,case_id,date_start,date_end,period_label,resolution
TUN-2000,0.16227947121135985,0.5525,0.5599982179153613,0.5,0.2251093733520007,0.595,0.5,0.0,0.2949737944950072,0.6000000000000001,0.35,0.75,0.28443707032078325,0.5,0.5,0.65,0.416307635519081,0.5,0.7166666666666667,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.2993563641058148,0.05170452992771034,0.25,0.5,0.2454347866469136,0.7862752583417699,0.17403479699620936,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9649478130402163,2.1930034000441707,1.9649478130402163,1.1160619053037857,2199.04465936314,4.7099729138049,14.94,30.729,40.8,31.6,16.2,6.0,10.2,14.9,21.6,47.3,10.5,51.8,2.96230794738605,3.70667246965086,3.49602747137556,9.206684552243388,6.20196008682251,4.81271935,1.5479040325129,2.75074029298135,1.22033582404798,6,5,,5.2,,,TUNISIA,2000-01-01,2000-12-31,2000,annual
TUN-2001,0.18211251271491907,0.5025,0.5430244727633102,0.5,0.18170598002419555,0.5592857142857142,0.5,0.0,0.31852513038434327,0.5714285714285714,0.35,0.75,0.1970474454029323,0.5,0.5,0.6071428571428571,0.41627651577407304,0.5,0.7333333333333334,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.3260669407161765,0.0641654659780481,0.25,0.5,0.2578914662598557,0.8002606645020434,0.17235803666160393,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9359599602241992,2.162452985265234,1.9359599602241992,1.116992618491348,2235.71981624751,3.79627166202512,14.4,29.889,40.18,31.1,16.48,6.08,10.399999999999999,15.040000000000001,21.700000000000003,46.78,9.58,51.8,1.98333333333337,4.20173772010119,2.04621697501891,9.34023225625582,6.20184993743896,4.86132765,1.52111247336458,4.29796603474685,3.94347251688176,6,5,,5.0,,,TUNISIA,2001-01-01,2001-12-31,2001,annual
TUN-2002,0.19465106455822154,0.4524999999999999,0.5249876412838821,0.5,0.1414182883628302,0.5235714285714285,0.5,0.0,0.2438717239243683,0.5428571428571428,0.35,0.75,0.1961709654011105,0.5,0.5,0.5642857142857142,0.2999363594478743,0.5,0.75,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.35065328875328194,0.08197188257657141,0.25,0.5,0.2867794829483898,0.8102141672789055,0.19528915172252204,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.9072112026920467,2.131875918930891,1.9072112026920467,1.1177975024065125,2320.7723805785,1.32255714828946,14.55,30.395,39.56,30.6,16.76,6.16,10.6,15.18,21.8,46.26,8.66,53.5,2.72103284850455,4.62505818398393,3.41507220577273,7.91215251419401,5.79006004333496,5.12036419,1.49264292624339,5.25288729548421,5.75974663829919,6,5,,4.8,,,TUNISIA,2002-01-01,2002-12-31,2002,annual
TUN-2003,0.2349091389885713,0.47750000000000004,0.5194395183139693,0.5,0.131015189662699,0.5414285714285714,0.5,0.0,0.6577365311259089,0.5571428571428572,0.35,0.75,0.18032638626319808,0.5,0.5,0.5857142857142857,0.59,0.5,0.7666666666666666,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.3794979606089397,0.048889274331623316,0.25,0.5,0.42436854508556593,0.8282915843162371,0.15819181508233685,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.8787170969065352,2.101282969526429,1.8787170969065352,1.118466943738558,2725.8643148859,4.70239953285241,14.51,30.664,38.94,30.1,17.04,6.24,10.799999999999999,15.32,21.900000000000002,45.74,7.74,61.4,2.71259247474352,4.55401146418396,1.96504647635127,7.048178366673081,6.81675004959106,5.20888519,1.48388570363995,6.49084579532797,19.0389204053524,6,5,,4.9,,,TUNISIA,2003-01-01,2003-12-31,2003,annual
TUN-2004,0.2920581159257546,0.5025,0.4827040848009778,0.5,0.11386889963663377,0.5592857142857142,0.5,0.0,0.6418830908731925,0.5714285714285714,0.35,0.75,0.30941696103787775,0.5,0.5,0.6071428571428571,0.5628890439637129,0.5,0.7833333333333334,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.40843131694695006,0.05140152690531951,0.25,0.5,0.5403773689208119,0.8523799218452273,0.17455221118788178,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,,,,,3067.41936376975,6.23579072222647,14.23,30.533,,,,,,,,,,72.4,3.63228004956625,4.59003431419085,1.89888949723214,7.798899916320135,6.72078990936279,5.19890785,1.42590206296513,8.52881775162591,36.746361434496,6,5,,5.0,,,TUNISIA,2004-01-01,2004-12-31,2004,annual
TUN-2005,0.3431078863060191,0.47750000000000004,0.49898586482508145,0.5,0.06770312443444973,0.5414285714285714,0.5,0.0,0.5160417023193462,0.5571428571428572,0.35,0.75,0.07039242305443712,0.5,0.5,0.5857142857142857,0.48682821092451345,0.5,0.8,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.4312229072886372,0.04681649466945367,0.25,0.5,0.567347777158363,0.8803451374102186,0.1520188995085714,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.8225568837051922,2.0400987588827078,1.8225568837051922,1.1193608150848278,3146.8260743927,3.4865455430439,12.872,28.103,37.7,29.1,17.6,6.4,11.2,15.6,22.1,44.7,5.9,80.2,2.01778641357144,4.31539618298049,2.20844919497596,8.676201667024905,6.4515700340271,5.14555788,1.45160141621028,9.655099869,55.3921457734954,6,5,,4.9,,,TUNISIA,2005-01-01,2005-12-31,2005,annual
TUN-2006,0.4070742011371712,0.40249999999999986,0.4956667107575611,0.5,0.004453745189805125,0.4878571428571428,0.5,0.0,0.5094434867270135,0.5142857142857142,0.35,0.75,0.13176019910189934,0.5,0.5,0.5214285714285714,0.483220341266399,0.5,0.8166666666666667,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.48191613199960087,0.1049070587097171,0.25,0.5,0.6270387965356661,0.916048754234031,0.17872771002435933,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.8290862142581676,2.0470924555411196,1.8290862142581676,1.119188608816545,3322.56933570096,5.24409983246916,12.51,27.913,37.86,29.14,17.52,6.38,11.139999999999999,15.56,22.1,44.82,5.34,87.5,3.22525337438917,4.39262875850702,9.42473369729129,8.723941181741484,6.43879985809326,5.13109922,1.44636242435988,12.98639965,70.9332705740445,6,5,,4.6,,,TUNISIA,2006-01-01,2006-12-31,2006,annual
TUN-2007,0.4530706790915683,0.30250000000000005,0.3782267807071779,0.5,0.13617194919219516,0.4164285714285715,0.5,0.0,0.6043733446851383,0.4571428571428572,0.35,0.75,0.18897842305256296,0.5,0.5,0.4357142857142857,0.49048686908421835,0.5,0.8333333333333334,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.5427995791281204,0.12412859745296383,0.25,0.5,0.764374976200215,0.9493545009270927,0.20944093369231975,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.8356283534219289,2.0540837875486164,1.8356283534219289,1.1190085311765037,3726.91672935667,6.70952097453554,12.365,28.143,38.02,29.18,17.44,6.36,11.08,15.52,22.1,44.94,4.78,110.2,2.96694432477349,4.40894710281036,3.89395159860218,8.667530074501895,6.46451997756958,5.17542839,1.26099385636655,17.1,75.1086269269129,6,5,,4.2,,,TUNISIA,2007-01-01,2007-12-31,2007,annual
TUN-2008-Q1,0.5606834520459851,0.35250000000000004,0.3969994925689741,0.5,0.1555919797385055,0.45214285714285724,0.5,0.0,0.5170124919985518,0.48571428571428577,0.65,0.75,0.3338639342584014,0.5,0.5,0.47857142857142865,0.43597410190571584,0.5,0.8500000000000001,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.6539648095534014,0.25498127053730757,0.25,0.5,0.9437549299124018,0.969514516114317,0.2551964656624743,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.8421830758061426,2.061072626291714,1.8421830758061426,1.1188207368530865,4255.05008019523,4.23778147502819,12.444,28.66,38.18,29.220000000000002,17.36,6.34,11.02,15.48,22.1,45.06,4.220000000000001,145.9,4.34502807623045,4.40701942168731,5.79738619600755,8.713884989470477,6.27157020568848,5.1644063,1.29062492574542,27.53,81.5940606878641,7,5,,4.4,,,TUNISIA,2008-01-01,2008-03-31,2008-Q1,quarterly
TUN-2008-Q2,0.5606834520459851,0.35250000000000004,0.3969994925689741,0.5,0.1555919797385055,0.45214285714285724,0.5,0.0,0.5170124919985518,0.48571428571428577,0.65,0.75,0.3338639342584014,0.5,0.5,0.47857142857142865,0.43597410190571584,0.5,0.8500000000000001,0.1,0.0,-0.09000000000000001,0.010000000000000002,0.6539648095534014,0.25498127053730757,0.25,0.5,0.9437549299124018,0.969514516114317,0.2551964656624743,Metastable,0.6,0.7,,0.09999999999999998,,,,0.9924038765061041,,,1.0,1.8421830758061426,2.061072626291714,1.8421830758061426,1.1188207368530865,4255.05008019523,4.23778147502819,12.444,28.66,38.18,29.220000000000002,17.36,6.34,11.02,15.48,22.1,45.06,4.220000000000001,145.9,4.34502807623045,4.40701942168731,5.79738619600755,8.713884989470477,6.27157020568848,5.1644063,1.29062492574542,27.53,81.5940606878641,7,5,,4.4,,,TUNISIA,2008-04-01,2008-06-30,2008-Q2,quarterly
