obs_id,CODA_C_conn,CODA_O_ord,CODA_D_dom,CODA_A_aut,CODA_imbalance,C_cohesion,T_tension,Theta_social_temp,E_m_maintenance,L_legitimacy,R_repression,P_centralization,E_economic_stress,Psi_div,Psi_coherence,Q_coupling,K_absorption,D_dissipation,H_inertia,Theta_elite,Theta_majority,TG_hazard,S_entropy,CS_config_space,EH_proximity,OA_mismatch,delta_tau,x1_E_prime_proxy,x1_E_double_prime_proxy,MDI_star,Omega_latent_inst,sigma_structural,sigma_valve,Omega_acc,dT_tension,regime_phase,x2_sol_position,x3_sol_position,x2_pop_centroid,x3_pop_centroid,alpha_degrees,T_prime_system,T_double_prime_system,T_prime_inner_orbit,T_prime_outer_orbit,T_prime_interior_region,PI_n_x1,PI_w_x1,PI_z_x1,PIw_PIn_ratio,PIz_PIw_ratio,gdp_pc_usd,gdp_growth_rate,unemployment_rate,youth_unemployment_rate,gini_coefficient,top_10pct_income_share,bottom_40pct_income_share,income_share_q1,income_share_q2,income_share_q3,income_share_q4,income_share_q5,poverty_headcount_pct,food_price_index,inflation_cpi,remittances_pct_gdp,fdi_net_pct_gdp,tourism_revenue_pct_gdp,govt_education_spending_pct_gdp,govt_health_spending_pct_gdp,military_police_spending_pct_gdp,internet_penetration_pct,mobile_penetration_pct,freedom_house_political_rights,freedom_house_civil_liberties,polity2,corruption_cpi_score,protest_events_count,repression_events_count,mepv_civviol,mepv_civwar,mepv_regciv,mepv_actotal,case_id,date_start,date_end,period_label,resolution
TUN-2000,0.04646121050388559,0.7075,0.3521854951547814,0.3037878787878788,0.3547182029315085,0.695,0.39747233557220935,0.27490390189877956,0.23156399845164852,0.7,0.1,0.65,0.28443707032078325,0.4487361677861047,0.5512638322138953,0.7012638322138952,0.45576189581812565,0.32831439393939393,,,,,0.27490390189877956,0.2993563641058148,3.0,0.266976446611144,0.4858772779281465,0.2454347866469136,0.7862752583417699,0.0942046884165782,0.0578821161006378,0.385880774004252,0.15,0.2962825957509037,0.053553513883915604,Metastable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,1.9649478130402163,2.1930034000441707,1.9649478130402163,1.1160619053037857,2199.04465936314,4.7099729138049,14.94,30.729,40.8,31.6,16.2,6.0,10.2,14.9,21.6,47.3,10.5,51.8,2.96230794738605,3.70667246965086,3.49602747137556,9.206684552243388,6.20196008682251,4.81271935,1.5479040325129,2.75074029298135,1.22033582404798,6,5,-3.0,5.2,5,0,0.0,0.0,16.0,0.0,TUNISIA,2000-01-01,2000-12-31,2000,annual
TUN-2001,0.07977691654310004,0.6289285714285714,0.35253447630316853,0.3,0.30084306559431995,0.6307142857142857,0.3083829960613877,0.23266559401301734,0.24820096608063397,0.6428571428571428,0.12777777777777777,0.65,0.1970474454029323,0.4041914980306939,0.5958085019693061,0.7029513591121632,0.47355383059945,0.325,,,,,0.23266559401301734,0.3260669407161765,1.501274422296049,0.2081585223414367,0.48177655731576446,0.2578914662598557,0.8002606645020434,0.06662784586404405,0.056056590116813486,0.3153183194070759,0.17777777777777776,0.3010464170771712,-0.08908933951082165,Stable,0.6,0.7,-0.075,0.09999999999999998,77.47119229084849,0.6084652289093281,0.39153477109067186,0.9829629131445341,0.4349861560995607,0.3088905663991917,1.0,1.9359599602241992,2.162452985265234,1.9359599602241992,1.116992618491348,2235.71981624751,3.79627166202512,14.4,29.889,40.18,31.1,16.48,6.08,10.399999999999999,15.040000000000001,21.700000000000003,46.78,9.58,51.8,1.98333333333337,4.20173772010119,2.04621697501891,9.34023225625582,6.20184993743896,4.86132765,1.52111247336458,4.29796603474685,3.94347251688176,6,5,-3.0,5.0,0,3,0.0,0.0,15.0,0.0,TUNISIA,2001-01-01,2001-12-31,2001,annual
TUN-2002,0.10081550103789537,0.5278571428571428,0.32279859644436726,0.3015151515151515,0.22416254337423158,0.5564285714285713,0.26241362525156486,0.23774116320181776,0.12387411386872094,0.5857142857142856,0.1,0.7,0.1961709654011105,0.38120681262578243,0.6187931873742176,0.6830789016599318,0.3707975744895823,0.3263257575757576,,,,,0.23774116320181776,0.35065328875328194,3.0,0.176781300193147,0.5262266805516322,0.2867794829483898,0.8102141672789055,0.07461922762782752,0.04240807655764458,0.2827205103842972,0.15,0.29096446254987984,-0.04596937080982283,Stable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,1.9072112026920467,2.131875918930891,1.9072112026920467,1.1177975024065125,2320.7723805785,1.32255714828946,14.55,30.395,39.56,30.6,16.76,6.16,10.6,15.18,21.8,46.26,8.66,53.5,2.72103284850455,4.62505818398393,3.41507220577273,7.91215251419401,5.79006004333496,5.12036419,1.49264292624339,5.25288729548421,5.75974663829919,6,5,-4.0,4.8,2,0,0.0,0.0,15.0,0.0,TUNISIA,2002-01-01,2002-12-31,2002,annual
TUN-2003,0.16649487383473505,0.5671428571428573,0.3230384395846969,0.3015151515151515,0.21108563568883382,0.5885714285714287,0.2086337800797595,0.2566758377684033,0.6860590815213226,0.6142857142857143,0.10925925925925926,0.7,0.18032638626319808,0.35431689003987976,0.6456831099601202,0.731397395674406,0.623273243984048,0.3263257575757576,,,,,0.2566758377684033,0.3794979606089397,0.11424733287533684,0.14055120373933797,0.5347669892721008,0.42436854508556593,0.8282915843162371,0.021240811066345202,0.03884749231809786,0.24392611455549817,0.15925925925925927,0.2787382053627343,-0.05377984517180537,Stable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,1.8787170969065352,2.101282969526429,1.8787170969065352,1.118466943738558,2725.8643148859,4.70239953285241,14.51,30.664,38.94,30.1,17.04,6.24,10.799999999999999,15.32,21.900000000000002,45.74,7.74,61.4,2.71259247474352,4.55401146418396,1.96504647635127,7.048178366673081,6.81675004959106,5.20888519,1.48388570363995,6.49084579532797,19.0389204053524,6,5,-4.0,4.9,2,1,0.0,0.0,14.0,0.0,TUNISIA,2003-01-01,2003-12-31,2003,annual
TUN-2004,0.26001811873095254,0.6064285714285714,0.288192558364063,0.30227272727272725,0.18024531080314157,0.6207142857142858,0.3289147472621088,0.19564699874080604,0.6329290473572372,0.6428571428571428,0.11851851851851852,0.7,0.30941696103787775,0.4144573736310544,0.5855426263689456,0.6926854835118027,0.5766245871840057,0.3269886363636364,,,,,0.19564699874080604,0.40843131694695006,3.0,0.22136336257498174,0.45667154104648255,0.5403773689208119,0.8523799218452273,0.08043638454515675,0.05754573093952695,0.34148016161917094,0.1685185185185185,0.287504429233685,0.12028096718234929,Metastable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,,,,,3067.41936376975,6.23579072222647,14.23,30.533,,,,,,,,,,72.4,3.63228004956625,4.59003431419085,1.89888949723214,7.798899916320135,6.72078990936279,5.19890785,1.42590206296513,8.52881775162591,36.746361434496,6,5,-4.0,5.0,3,2,0.0,0.0,14.0,0.0,TUNISIA,2004-01-01,2004-12-31,2004,annual
TUN-2005,0.34284995810906793,0.5671428571428573,0.3000280794096981,0.3007575757575757,0.11251119769083348,0.5885714285714287,0.006090148222685949,0.2152866251929618,0.4751616885169944,0.6142857142857143,0.10925925925925926,0.7,0.07039242305443712,0.25304507411134297,0.746954925888657,0.8326692116029427,0.5778054794592241,0.3256628787878788,,,,,0.2152866251929618,0.4312229072886372,3.0,0.004106813020241159,0.4041116019178952,0.567347777158363,0.8803451374102186,0.0,0.01604631178727319,0.10075591122241306,0.15925925925925927,0.2523867069268904,-0.32282459903942284,Stable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,1.8225568837051922,2.0400987588827078,1.8225568837051922,1.1193608150848278,3146.8260743927,3.4865455430439,12.872,28.103,37.7,29.1,17.6,6.4,11.2,15.6,22.1,44.7,5.9,80.2,2.01778641357144,4.31539618298049,2.20844919497596,8.676201667024905,6.4515700340271,5.14555788,1.45160141621028,9.655099869,55.3921457734954,6,5,-4.0,4.9,1,1,0.0,0.0,11.0,0.0,TUNISIA,2005-01-01,2005-12-31,2005,annual
TUN-2006,0.44860404115451225,0.4492857142857142,0.3027755125652192,0.3,0.0017285928482105584,0.49214285714285705,0.01599999999999966,0.2170589913850407,0.4635815828013906,0.5285714285714285,0.11851851851851852,0.7,0.13176019910189934,0.25799999999999984,0.7420000000000002,0.7634285714285715,0.5728169510553327,0.325,,,,,0.2170589913850407,0.48191613199960087,3.0,0.010799999999999772,0.646943701471279,0.6270387965356661,0.916048754234031,0.0,0.019330473911294246,0.11470830672636145,0.1685185185185185,0.22593240986886404,0.00990985177731371,Stable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,1.8290862142581676,2.0470924555411196,1.8290862142581676,1.119188608816545,3322.56933570096,5.24409983246916,12.51,27.913,37.86,29.14,17.52,6.38,11.139999999999999,15.56,22.1,44.82,5.34,87.5,3.22525337438917,4.39262875850702,9.42473369729129,8.723941181741484,6.43879985809326,5.13109922,1.44636242435988,12.98639965,70.9332705740445,6,5,-4.0,4.6,0,2,0.0,0.0,13.0,0.0,TUNISIA,2006-01-01,2006-12-31,2006,annual
TUN-2007,0.5264066926846167,0.29214285714285726,0.15769262829557515,0.3,0.18828560362309216,0.36357142857142866,0.03902838516908873,0.29365220615498705,0.49212794779251945,0.41428571428571437,0.1,0.7,0.18897842305256296,0.26951419258454434,0.7304858074154557,0.6662000931297414,0.5742667138696975,0.325,,,,,0.29365220615498705,0.5427995791281204,3.0,0.026344159989134894,0.6218466387512728,0.764374976200215,0.9493545009270927,0.02215145545152429,0.0239854718741656,0.15990314582777065,0.15,0.20823768610262539,0.023028385169089068,Stable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,1.8356283534219289,2.0540837875486164,1.8356283534219289,1.1190085311765037,3726.91672935667,6.70952097453554,12.365,28.143,38.02,29.18,17.44,6.36,11.08,15.52,22.1,44.94,4.78,110.2,2.96694432477349,4.40894710281036,3.89395159860218,8.667530074501895,6.46451997756958,5.17542839,1.26099385636655,17.1,75.1086269269129,6,5,-4.0,4.2,0,0,0.0,0.0,14.0,0.0,TUNISIA,2007-01-01,2007-12-31,2007,annual
TUN-2008-Q1,0.7092572061380266,0.3707142857142859,0.18529341062157734,0.3212121212121212,0.23723081550714228,0.427857142857143,0.0787815181558897,0.43579930416035945,0.38840245122983946,0.47142857142857153,0.4092592592592592,0.7,0.3338639342584014,0.28939075907794487,0.7106092409220551,0.6891806694934838,0.520888781290252,0.34356060606060607,,,,,0.43579930416035945,0.6539648095534014,3.0,0.0517152920318776,0.588913959563622,0.9437549299124018,0.969514516114317,0.07834731214736516,0.08334341813993901,0.23198683399776837,0.3592592592592593,0.2520622982752445,0.03975313298680097,Stable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,1.8421830758061426,2.061072626291714,1.8421830758061426,1.1188207368530865,4255.05008019523,4.23778147502819,12.444,28.66,38.18,29.220000000000002,17.36,6.34,11.02,15.48,22.1,45.06,4.220000000000001,145.9,4.34502807623045,4.40701942168731,5.79738619600755,8.713884989470477,6.27157020568848,5.1644063,1.29062492574542,27.53,81.5940606878641,7,5,-4.0,4.4,28,1,0.0,0.0,14.0,0.0,TUNISIA,2008-01-01,2008-03-31,2008-Q1,quarterly
TUN-2008-Q2,0.7092572061380266,0.3707142857142859,0.18529341062157734,0.3212121212121212,0.23723081550714228,0.427857142857143,0.0787815181558897,0.43579930416035945,0.38840245122983946,0.47142857142857153,0.4092592592592592,0.7,0.3338639342584014,0.28939075907794487,0.7106092409220551,0.6891806694934838,0.520888781290252,0.34356060606060607,,,,,0.43579930416035945,0.6539648095534014,3.0,0.0517152920318776,0.588913959563622,0.9437549299124018,0.969514516114317,0.07834731214736516,0.08334341813993901,0.23198683399776837,0.3592592592592593,0.2520622982752445,0.03975313298680097,Stable,0.6,0.7,-0.09,0.09999999999999998,82.58850714082114,0.5644972557757298,0.4355027442242701,0.9829629131445341,0.3910262602048397,0.2684408681048061,1.0,1.8421830758061426,2.061072626291714,1.8421830758061426,1.1188207368530865,4255.05008019523,4.23778147502819,12.444,28.66,38.18,29.220000000000002,17.36,6.34,11.02,15.48,22.1,45.06,4.220000000000001,145.9,4.34502807623045,4.40701942168731,5.79738619600755,8.713884989470477,6.27157020568848,5.1644063,1.29062492574542,27.53,81.5940606878641,7,5,-4.0,4.4,28,1,0.0,0.0,14.0,0.0,TUNISIA,2008-04-01,2008-06-30,2008-Q2,quarterly
